NOMBRE INSTITUCION EDUCATIVA ;AMIE;CORREO ELECTRONICO ;TELEFONO 
UNIDAD EDUCATIVA SEGUNDO CISNEROS ESPINOZA;24H00206;24h00206segundocisneros@gmail.com;042538612
UNIDAD EDUCATIVA SEGUNDO CISNEROS ESPINOZA;24H00206;24h00206segundocisneros@gmail.com;042538612
ESCUELA DE EDUCACION BASICA GUSTAVO ENRIQUE GALINDO VELASCO;24H00264;24h00264gustavogalindo@gmail.com;042539042
ESCUELA DE EDUCACION BASICA GUSTAVO ENRIQUE GALINDO VELASCO;24H00264;24h00264gustavogalindo@gmail.com;042539042
ESCUELA DE EDUCACION BASICA GUSTAVO ENRIQUE GALINDO VELASCO;24H00264;24h00264gustavogalindo@gmail.com;042539042
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0981114103
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA MANUELA ESPEJO;24H00256;24h00256manuelaespejo@gmail.com  ;042780887
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0981114103
ESCUELA DE EDUCACION BASICA PAQUISHA;24H00244;24h00244paquisha@gmail.com;042787101
ESCUELA DE EDUCACION BASICA 25 DE SEPTIEMBRE;24H00212;24h00212veinticincodesept@gmail.com;0996451569
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0981114103
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
ESCUELA DE EDUCACION BASICA PAQUISHA;24H00244;24h00244paquisha@gmail.com;042787101
ESCUELA DE EDUCACION BASICA TRECE DE ABRIL;24H00254;24h00254treceabril@gmail.com;0997544016
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0993182107
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
ESCUELA DE EDUCACION BASICA CARMEN EUFEMIA MONTENEGRO DE OBREGON;24H00041;24h00041carmenmontenegro@gmail.com;0979244227
ESCUELA DE EDUCACION BASICA CARMEN EUFEMIA MONTENEGRO DE OBREGON;24H00041;24h00041carmenmontenegro@gmail.com;0979244227
ESCUELA DE EDUCACION BASICA CARMEN EUFEMIA MONTENEGRO DE OBREGON;24H00041;24h00041carmenmontenegro@gmail.com;0979244227
ESCUELA DE EDUCACION BASICA CARMEN EUFEMIA MONTENEGRO DE OBREGON;24H00041;24h00041carmenmontenegro@gmail.com;0979244227
ESCUELA DE EDUCACION BASICA 25 DE SEPTIEMBRE;24H00212;24h00212veinticincodesept@gmail.com;0996451569
ESCUELA DE EDUCACION BASICA 25 DE SEPTIEMBRE;24H00212;24h00212veinticincodesept@gmail.com;0996451569
ESCUELA DE EDUCACION BASICA 25 DE SEPTIEMBRE;24H00212;24h00212veinticincodesept@gmail.com;0996451569
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA VIRGINIA REYES GONZALEZ ;24H00313;24h00313virginiareyes@gmail.com;042946346
UNIDAD EDUCATIVA PEDRO FRANCO DAVILA;24H00182;24h00182pedrofranco@gmail.com;042946146
UNIDAD EDUCATIVA PEDRO FRANCO DAVILA;24H00182;24h00182pedrofranco@gmail.com;042946146
UNIDAD EDUCATIVA PEDRO FRANCO DAVILA;24H00182;24h00182pedrofranco@gmail.com;042946146
UNIDAD EDUCATIVA PEDRO FRANCO DAVILA;24H00182;24h00182pedrofranco@gmail.com;042946146
UNIDAD EDUCATIVA PEDRO FRANCO DAVILA;24H00182;24h00182pedrofranco@gmail.com;042946146
ESCUELA DE EDUCACION BASICA CESAR ROHON SANDOVAL ;24H00309;24h00309cesarrohon@gmail.com;042946179
ESCUELA DE EDUCACION BASICA CESAR ROHON SANDOVAL ;24H00309;24h00309cesarrohon@gmail.com;042946179
ESCUELA DE EDUCACION BASICA CESAR ROHON SANDOVAL ;24H00309;24h00309cesarrohon@gmail.com;042946179
ESCUELA DE EDUCACION BASICA CESAR ROHON SANDOVAL ;24H00309;24h00309cesarrohon@gmail.com;042946179
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
UNIDAD EDUCATIVA LUIS AUGUSTO MENDOZA MOREIRA;24H00265;24h00265luismendoza@gmail.com;042786837
ESCUELA DE EDUCACION BASICA LUISA MARTIN GONZALEZ ;24H00310;24h00310luisamartingonzalez@gmail.com;042946260
ESCUELA DE EDUCACION BASICA LUISA MARTIN GONZALEZ ;24H00310;24h00310luisamartingonzalez@gmail.com;042946260
ESCUELA DE EDUCACION BASICA IVAN ABAD GUERRA ;24H00191;24h00191ivanabadguerra@gmail.com;042933662
ESCUELA DE EDUCACION BASICA IVAN ABAD GUERRA ;24H00191;24h00191ivanabadguerra@gmail.com;042933662
ESCUELA DE EDUCACION BASICA IVAN ABAD GUERRA ;24H00191;24h00191ivanabadguerra@gmail.com;042933662
ESCUELA DE EDUCACION BASICA PAQUISHA;24H00244;24h00244paquisha@gmail.com;042787101
ESCUELA DE EDUCACION BASICA PAQUISHA ;24H00244;24h00244paquisha@gmail.com;042787101
ESCUELA DE EDUCACION BASICA PAQUISHA ;24H00244;24h00244paquisha@gmail.com;042787101
ESCUELA DE EDUCACION BASICA TRECE DE ABRIL ;24H00254;24h00254treceabril@gmail.com;0999462405
ESCUELA DE EDUCACION BASICA TRECE DE ABRIL ;24H00254;24h00254treceabril@gmail.com;0997544016
ESCUELA DE EDUCACION BASICA TRECE DE ABRIL ;24H00254;24h00254treceabril@gmail.com;0997544016
ESCUELA DE EDUCACION BASICA TRECE DE ABRIL ;24H00254;24h00254treceabril@gmail.com;0999462405
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
UNIDAD EDUCATIVA JOSE PEDRO VARELA ;24H00257;24h00257josevarela@gmail.com ;0985545852
ESCUELA DE EDUCACION BASICA PRESIDENTE TAMAYO;24H00336;24h00336presidentetamayo@gmail.com;0999431201
ESCUELA DE EDUCACION BASICA PRESIDENTE TAMAYO;24H00336;24h00336presidentetamayo@gmail.com;0999431201
ESCUELA DE EDUCACION BASICA PRESIDENTE TAMAYO ;24H00336;24h00336presidentetamayo@gmail.com;0999431201
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
ESCUELA DE EDUCACION BASICA OASIS TAMAYENSE;24H00326;24h00326oasistamayense@gmail.com;0986615778
ESCUELA DE EDUCACION BASICA ABDON CALDERON GARAICOA;24H00241;24h00241abdoncalderon@gmail.com;0997707704
ESCUELA DE EDUCACION BASICA ABDON CALDERON GARAICOA;24H00241;24h00241abdoncalderon@gmail.com;0997707704
ESCUELA DE EDUCACION BASICA ABDON CALDERON GARAICOA;24H00241;24h00241abdoncalderon@gmail.com;0997707704
ESCUELA DE EDUCACION BASICA ABDON CALDERON GARAICOA;24H00241;24h00241abdoncalderon@gmail.com;0997707704
ESCUELA DE EDUCACION BASICA MAURICIO HERMENEJILDO DOMINGUEZ;24H00188;24h00188mauriciohermenejildo@gmail.com;0984128954
ESCUELA DE EDUCACION BASICA MAURICIO HERMENEJILDO DOMINGUEZ;24H00188;24h00188mauriciohermenejildo@gmail.com;0984128954
ESCUELA DE EDUCACION BASICA MAURICIO HERMENEJILDO DOMINGUEZ;24H00188;24h00188mauriciohermenejildo@gmail.com;0984128954
ESCUELA DE EDUCACION BASICA MAURICIO HERMENEJILDO DOMINGUEZ;24H00188;24h00188mauriciohermenejildo@gmail.com;0984128954
UNIDAD EDUCATIVA PENINSULA DE SANTA ELENA;24H00202;24h00202peninsulasantaelena@gmail.com;0986615778
ESCUELA DE EDUCACION BASICA MAURICIO HERMENEJILDO DOMINGUEZ;24H00188;24h00188mauriciohermenejildo@gmail.com;0986615778
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
ESCUELA DE EDUCACION BASICA ING SIXTO CHANG CANSING;24H00193;24h00193ingsixtochang@gmail.com;0939300785
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
UNIDAD EDUCATIVA LA LIBERTAD;24H00214;24h00214lalibertad@gmail.com;0978922238
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA DOMINGO FAUSTINO SARMIENTO;24H00267;24h00267domingosarmiento@gmail.com;0981851680
ESCUELA DE EDUCACION BASICA ING MARCO POLO MOROCHO AJOY;24H00367;24h00367ingmarcopolo@gmail.com;0939576493
ESCUELA DE EDUCACION BASICA ING MARCO POLO MOROCHO AJOY;24H00367;24h00367ingmarcopolo@gmail.com;0939576493
ESCUELA DE EDUCACION BASICA ING MARCO POLO MOROCHO AJOY;24H00367;24h00367ingmarcopolo@gmail.com;0939576493
ESCUELA DE EDUCACION BASICA ING MARCO POLO MOROCHO AJOY;24H00367;24h00367ingmarcopolo@gmail.com;0939576493
ESCUELA DE EDUCACION BASICA DOLORES VEINTIMILLA DE GALINDO;24H00218;24h00218doloresveintimilla@gmail.com ;0989894286
ESCUELA DE EDUCACION BASICA DOLORES VEINTIMILLA DE GALINDO;24H00218;24h00218doloresveintimilla@gmail.com ;0989894286
ESCUELA DE EDUCACION BASICA LAS MINAS;24H00211;24h00211lasminas@gmail.com;0989685799
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
UNIDAD EDUCATIVA DR LUIS CELLERI AVILES;24H00261;24h00261luiscelleriaviles@gmail.com;0990939074
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0981114103
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0997544016
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0997544016
ESCUELA DE EDUCACION BASICA 11 DE DICIEMBRE;24H00251;24h00251oncedediciembre@gmail.com;0997544016
ESCUELA DE EDUCACION BASICA FRANCISCO VALDIVIA DIAZ;24H00205;24h00205franciscovaldivia@gmail.com;0986408156
ESCUELA DE EDUCACION BASICA FRANCISCO VALDIVIA DIAZ;24H00205;24h00205franciscovaldivia@gmail.com;0986408156
ESCUELA DE EDUCACION BASICA FRANCISCO VALDIVIA DIAZ;24H00205;24h00205franciscovaldivia@gmail.com;0986408156
ESCUELA DE EDUCACION BASICA FRANCISCO VALDIVIA DIAZ;24h00205;24h00205franciscovaldivia@gmail.com;0986408156
ESCUELA DE EDUCACION BASICA JOHN M PENNEY;24H00262;24h00262johnpenney@gmail.com;0958988985
ESCUELA DE EDUCACION BASICA JOHN M PENNEY;24H00262;24h00262johnpenney@gmail.com;0958988985
ESCUELA DE EDUCACION BASICA DOCE DE JULIO;24H00263;24h00263docedejulio@gmail.com;0969616069
ESCUELA DE EDUCACION BASICA DOCE DE JULIO;24H00263;24h00263docedejulio@gmail.com;0969616069
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0979429124
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
UNIDAD EDUCATIVA MUEY;24H00327;24h00327muey@gmail.com ;0986615778
ESCUELA DE EDUCACION BASICA LUZ DEL SABER;24H00389;24h00389luzdelsaber@gmail.com;0988815630
ESCUELA DE EDUCACION BASICA LUZ DEL SABER;24H00389;24h00389luzdelsaber@gmail.com;0988815630
ESCUELA DE EDUCACION BASICA LUZ DEL SABER;24H00389;24h00389luzdelsaber@gmail.com;0988815630
ESCUELA DE EDUCACION BASICA LUZ DEL SABER;24H00389;24h00389luzdelsaber@gmail.com;0988815630
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0967796168
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0967796168
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0981426829
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0967796168
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0981426829
ESCUELA DE EDUCACION BASICA NUEVOS HORIZONTES;24H00334;24h00334nuevoshorizontes@gmail.com;0967796168
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0983382862
ESCUELA DE EDUCACION BASICA FRANCISCO HUERTA RENDON;24H00331;24h00331franciscohuerta@gmail.com;0967862667
ESCUELA DE EDUCACION BASICA MERCEDES MORENO IRIGOYEN;24H00340;24h00340mercedesmoreno@gmail.com;0994254289
ESCUELA DE EDUCACION BASICA MERCEDES MORENO IRIGOYEN;24H00340;24h00340mercedesmoreno@gmail.com;0994254289
ESCUELA DE EDUCACION BASICA MERCEDES MORENO IRIGOYEN;24H00340;24h00340mercedesmoreno@gmail.com;0939211033
ESCUELA DE EDUCACION BASICA MERCEDES MORENO IRIGOYEN;24H00340;24h00340mercedesmoreno@gmail.com;0939211033
ESCUELA DE EDUCACION BASICA MERCEDES MORENO IRIGOYEN;24H00340;24h00340mercedesmoreno@gmail.com;0939211033
ESCUELA DE EDUCACION BASICA PRIMERO DE MAYO;24H00319;24h00319primerodemayo@gmail.com;0987104656
ESCUELA DE EDUCACION BASICA ABG CESAR GASPAR MONTENEGRO LAINEZ;24H00274;24h00274cesarmontenegro@gmail.com ;0990550459
ESCUELA DE EDUCACION BASICA ABG CESAR GASPAR MONTENEGRO LAINEZ;24H00274;24h00274cesarmontenegro@gmail.com ;0990550459
ESCUELA DE EDUCACION BASICA ABG CESAR GASPAR MONTENEGRO LAINEZ;24H00274;24h00274cesarmontenegro@gmail.com ;0990550459
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA CARLOS ESPINOSA LARREA;24H00271;24h00271carlosespinosalarrea@gmail.com;0987887582
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES;24H00299;24h00299manuelacanizares@gmail.com;0986745037
